REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_MASCHI,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Rappresentanze sindacali (richiesta minimale),50.70%,2,"1,041,584.00","502,760.00","538,824.00","528,092.00","269,843.00","258,249.00","240,772.00","189,952.00","65,018.00"
,,Soggiorno cautelare,50.62%,4,"1,041,584.00","502,760.00","538,824.00","527,251.00","269,362.00","257,889.00","185,893.00","247,238.00","63,154.00"
,,Trattenute contributi sindacali,50.77%,7,"1,041,584.00","502,760.00","538,824.00","528,830.00","270,195.00","258,635.00","255,289.00","184,744.00","58,937.00"
,Palermo Total,,50.82%,45,"12,499,008.00","6,033,120.00","6,465,888.00","6,352,163.00","3,244,666.00","3,107,497.00","2,341,358.00","3,047,204.00","612,007.00"
,Ragusa,Autorizzazione al commercio,51.46%,6,"239,432.00","115,992.00","123,440.00","123,214.00","61,865.00","61,349.00","36,584.00","60,539.00","20,951.00"
,,Concessioni televisive nazionali,51.91%,0,"239,432.00","115,992.00","123,440.00","124,292.00","62,507.00","61,785.00","37,171.00","76,817.00","6,835.00"
,,Contrattazione pubblico impiego,51.45%,3,"239,432.00","115,992.00","123,440.00","123,183.00","61,865.00","61,318.00","53,982.00","41,906.00","21,908.00"
,,Interruzioni pubblicitarie,51.87%,0,"239,432.00","115,992.00","123,440.00","124,190.00","62,402.00","61,788.00","38,365.00","76,328.00","6,434.00"
,,Legge elettorale comuni,51.52%,8,"239,432.00","115,992.00","123,440.00","123,366.00","61,908.00","61,458.00","46,772.00","51,184.00","20,421.00"
,,Orari esercizi commerciali,51.55%,9,"239,432.00","115,992.00","123,440.00","123,426.00","62,047.00","61,379.00","38,028.00","63,158.00","17,699.00"
