REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_MASCHI,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Legge elettorale comuni,42.35%,8,"663,461.00","321,161.00","342,300.00","280,991.00","144,229.00","136,762.00","115,196.00","111,908.00","47,796.00"
,,Orari esercizi commerciali,42.37%,9,"663,461.00","321,161.00","342,300.00","281,103.00","144,170.00","136,933.00","93,415.00","139,884.00","42,056.00"
,,Privatizzazione RAI,42.35%,5,"663,461.00","321,161.00","342,300.00","280,983.00","144,198.00","136,785.00","96,906.00","134,259.00","43,759.00"
,,Raccolta pubblicita' radiotelevisiva,42.66%,0,"663,461.00","321,161.00","342,300.00","283,052.00","145,243.00","137,809.00","87,995.00","171,347.00","19,006.00"
,,Rappresentanze sindacali (richiesta massimale),42.32%,1,"663,461.00","321,161.00","342,300.00","280,797.00","144,036.00","136,761.00","113,971.00","115,832.00","43,717.00"
,,Rappresentanze sindacali (richiesta minimale),42.28%,2,"663,461.00","321,161.00","342,300.00","280,544.00","143,999.00","136,545.00","122,462.00","103,095.00","48,146.00"
,,Soggiorno cautelare,42.35%,4,"663,461.00","321,161.00","342,300.00","280,980.00","144,005.00","136,975.00","108,723.00","116,510.00","48,686.00"
,,Trattenute contributi sindacali,42.34%,7,"663,461.00","321,161.00","342,300.00","280,931.00","144,184.00","136,747.00","131,320.00","97,654.00","46,099.00"
,Caserta Total,,42.42%,45,"7,961,532.00","3,853,932.00","4,107,600.00","3,377,270.00","1,732,650.00","1,644,620.00","1,265,086.00","1,565,553.00","474,243.00"
,Napoli,Autorizzazione al commercio,43.32%,6,"2,363,671.00","1,145,457.00","1,218,214.00","1,023,831.00","528,457.00","495,374.00","331,771.00","570,241.00","99,307.00"
,,Concessioni televisive nazionali,43.72%,0,"2,363,671.00","1,145,457.00","1,218,214.00","1,033,307.00","533,385.00","499,922.00","395,793.00","592,939.00","28,793.00"
,,Contrattazione pubblico impiego,43.28%,3,"2,363,671.00","1,145,457.00","1,218,214.00","1,022,967.00","528,195.00","494,772.00","541,100.00","351,653.00","105,804.00"
,,Interruzioni pubblicitarie,43.72%,0,"2,363,671.00","1,145,457.00","1,218,214.00","1,033,415.00","533,391.00","500,024.00","402,048.00","589,074.00","27,599.00"
,,Legge elettorale comuni,43.38%,8,"2,363,671.00","1,145,457.00","1,218,214.00","1,025,377.00","529,480.00","495,897.00","419,419.00","487,246.00","96,951.00"
,,Orari esercizi commerciali,43.34%,9,"2,363,671.00","1,145,457.00","1,218,214.00","1,024,435.00","528,700.00","495,735.00","336,814.00","584,723.00","82,790.00"
,,Privatizzazione RAI,43.38%,5,"2,363,671.00","1,145,457.00","1,218,214.00","1,025,352.00","529,424.00","495,928.00","410,172.00","504,711.00","89,084.00"
,,Raccolta pubblicita' radiotelevisiva,43.71%,0,"2,363,671.00","1,145,457.00","1,218,214.00","1,033,171.00","533,460.00","499,711.00","397,157.00","589,749.00","29,165.00"
,,Rappresentanze sindacali (richiesta massimale),43.29%,1,"2,363,671.00","1,145,457.00","1,218,214.00","1,023,222.00","528,319.00","494,903.00","431,476.00","473,059.00","93,412.00"
,,Rappresentanze sindacali (richiesta minimale),43.28%,2,"2,363,671.00","1,145,457.00","1,218,214.00","1,022,989.00","528,233.00","494,756.00","515,778.00","378,810.00","103,183.00"
,,Soggiorno cautelare,43.30%,4,"2,363,671.00","1,145,457.00","1,218,214.00","1,023,503.00","528,311.00","495,192.00","394,940.00","495,777.00","108,196.00"
,,Trattenute contributi sindacali,43.34%,7,"2,363,671.00","1,145,457.00","1,218,214.00","1,024,483.00","529,056.00","495,427.00","514,924.00","392,710.00","94,983.00"
,Napoli Total,,43.42%,45,"28,364,052.00","13,745,484.00","14,618,568.00","12,316,052.00","6,358,411.00","5,957,641.00","5,091,392.00","6,010,692.00","959,267.00"
,Salerno,Autorizzazione al commercio,46.49%,6,"883,969.00","429,606.00","454,363.00","410,923.00","206,841.00","204,082.00","135,115.00","206,024.00","59,557.00"
,,Concessioni televisive nazionali,46.95%,0,"883,969.00","429,606.00","454,363.00","415,010.00","208,929.00","206,081.00","125,124.00","259,258.00","22,340.00"
,,Contrattazione pubblico impiego,46.46%,3,"883,969.00","429,606.00","454,363.00","410,672.00","206,658.00","204,014.00","189,673.00","147,456.00","65,850.00"
,,Interruzioni pubblicitarie,46.92%,0,"883,969.00","429,606.00","454,363.00","414,774.00","208,932.00","205,842.00","127,914.00","258,299.00","19,651.00"
,,Legge elettorale comuni,46.48%,8,"883,969.00","429,606.00","454,363.00","410,833.00","207,013.00","203,820.00","174,096.00","169,625.00","57,879.00"
,,Orari esercizi commerciali,46.49%,9,"883,969.00","429,606.00","454,363.00","410,924.00","206,813.00","204,111.00","138,469.00","212,801.00","50,175.00"
,,Privatizzazione RAI,46.72%,5,"883,969.00","429,606.00","454,363.00","413,006.00","206,903.00","206,103.00","147,909.00","200,316.00","53,584.00"
,,Raccolta pubblicita' radiotelevisiva,46.89%,0,"883,969.00","429,606.00","454,363.00","414,492.00","208,654.00","205,838.00","125,471.00","259,612.00","20,939.00"
,,Rappresentanze sindacali (richiesta massimale),46.50%,1,"883,969.00","429,606.00","454,363.00","411,053.00","206,979.00","204,074.00","170,049.00","172,646.00","56,801.00"
,,Rappresentanze sindacali (richiesta minimale),46.46%,2,"883,969.00","429,606.00","454,363.00","410,670.00","206,727.00","203,943.00","182,819.00","154,804.00","61,208.00"
,,Soggiorno cautelare,46.39%,4,"883,969.00","429,606.00","454,363.00","410,056.00","206,147.00","203,909.00","169,862.00","168,766.00","61,599.00"
,,Trattenute contributi sindacali,43.18%,7,"883,969.00","429,606.00","454,363.00","381,738.00","192,068.00","189,670.00","195,842.00","148,098.00","57,973.00"
,Salerno Total,,46.33%,45,"10,607,628.00","5,155,272.00","5,452,356.00","4,914,151.00","2,472,664.00","2,441,487.00","1,882,343.00","2,357,705.00","587,556.00"
CAMPANIA Total,,,42.84%,225,"54,917,808.00","26,661,216.00","28,256,592.00","23,527,833.00","12,075,440.00","11,452,393.00","9,408,812.00","11,253,663.00","2,384,166.00"
EMILIA ROMAGNA,Bologna,Autorizzazione al commercio,71.12%,6,"793,726.00","376,663.00","417,063.00","564,470.00","274,122.00","290,348.00","145,821.00","375,292.00","37,052.00"
,,Concessioni televisive nazionali,72.38%,0,"793,726.00","376,663.00","417,063.00","574,464.00","279,221.00","295,243.00","329,686.00","229,631.00","10,796.00"
,,Contrattazione pubblico impiego,70.99%,3,"793,726.00","376,663.00","417,063.00","563,434.00","273,726.00","289,708.00","393,737.00","124,586.00","38,849.00"
,,Interruzioni pubblicitarie,72.38%,0,"793,726.00","376,663.00","417,063.00","574,486.00","279,025.00","295,461.00","336,650.00","223,667.00","10,555.00"
,,Legge elettorale comuni,71.43%,8,"793,726.00","376,663.00","417,063.00","566,957.00","275,484.00","291,473.00","188,222.00","336,494.00","36,354.00"
,,Orari esercizi commerciali,71.23%,9,"793,726.00","376,663.00","417,063.00","565,400.00","274,372.00","291,028.00","161,016.00","367,095.00","32,146.00"
,,Privatizzazione RAI,71.45%,5,"793,726.00","376,663.00","417,063.00","567,116.00","275,595.00","291,521.00","361,209.00","172,031.00","28,618.00"
,,Raccolta pubblicita' radiotelevisiva,72.34%,0,"793,726.00","376,663.00","417,063.00","574,163.00","278,910.00","295,253.00","332,529.00","225,002.00","12,152.00"
,,Rappresentanze sindacali (richiesta massimale),71.13%,1,"793,726.00","376,663.00","417,063.00","564,548.00","274,251.00","290,297.00","195,924.00","328,454.00","33,001.00"
,,Rappresentanze sindacali (richiesta minimale),71.02%,2,"793,726.00","376,663.00","417,063.00","563,724.00","273,903.00","289,821.00","380,859.00","138,452.00","37,671.00"
,,Soggiorno cautelare,71.02%,4,"793,726.00","376,663.00","417,063.00","563,698.00","273,818.00","289,880.00","344,849.00","150,076.00","61,077.00"
,,Trattenute contributi sindacali,71.34%,7,"793,726.00","376,663.00","417,063.00","566,226.00","275,209.00","291,017.00","229,450.00","300,073.00","31,197.00"
,Bologna Total,,71.48%,45,"9,524,712.00","4,519,956.00","5,004,756.00","6,808,686.00","3,307,636.00","3,501,050.00","3,399,952.00","2,970,853.00","369,468.00"
,Ferrara,Autorizzazione al commercio,70.93%,6,"314,271.00","149,032.00","165,239.00","222,919.00","107,897.00","115,022.00","59,630.00","140,402.00","19,734.00"
,,Concessioni televisive nazionali,71.71%,0,"314,271.00","149,032.00","165,239.00","225,377.00","109,137.00","116,240.00","107,690.00","109,225.00","6,319.00"
,,Contrattazione pubblico impiego,70.90%,3,"314,271.00","149,032.00","165,239.00","222,803.00","107,864.00","114,939.00","144,501.00","55,554.00","19,447.00"
,,Interruzioni pubblicitarie,71.74%,0,"314,271.00","149,032.00","165,239.00","225,447.00","109,194.00","116,253.00","112,338.00","106,014.00","6,076.00"
,,Legge elettorale comuni,71.06%,8,"314,271.00","149,032.00","165,239.00","223,312.00","108,118.00","115,194.00","84,055.00","116,641.00","19,492.00"
,,Orari esercizi commerciali,71.01%,9,"314,271.00","149,032.00","165,239.00","223,157.00","108,012.00","115,145.00","63,685.00","139,344.00","17,480.00"
,,Privatizzazione RAI,71.10%,5,"314,271.00","149,032.00","165,239.00","223,459.00","108,207.00","115,252.00","130,395.00","74,392.00","15,826.00"
,,Raccolta pubblicita' radiotelevisiva,71.71%,0,"314,271.00","149,032.00","165,239.00","225,364.00","109,158.00","116,206.00","108,310.00","108,115.00","6,718.00"
,,Rappresentanze sindacali (richiesta massimale),70.93%,1,"314,271.00","149,032.00","165,239.00","222,923.00","107,937.00","114,986.00","84,065.00","117,682.00","17,765.00"
,,Rappresentanze sindacali (richiesta minimale),70.88%,2,"314,271.00","149,032.00","165,239.00","222,748.00","107,812.00","114,936.00","139,402.00","61,214.00","18,495.00"
,,Soggiorno cautelare,70.92%,4,"314,271.00","149,032.00","165,239.00","222,883.00","107,874.00","115,009.00","129,825.00","56,310.00","32,201.00"
,,Trattenute contributi sindacali,71.07%,7,"314,271.00","149,032.00","165,239.00","223,355.00","108,162.00","115,193.00","93,141.00","110,435.00","16,890.00"
,Ferrara Total,,71.16%,45,"3,771,252.00","1,788,384.00","1,982,868.00","2,683,747.00","1,299,372.00","1,384,375.00","1,257,037.00","1,195,328.00","196,443.00"
,Forlì-Cesena,Autorizzazione al commercio,67.60%,6,"302,777.00","145,673.00","157,104.00","204,679.00","100,893.00","103,786.00","51,122.00","134,642.00","15,599.00"
,,Concessioni televisive nazionali,68.65%,0,"302,777.00","145,673.00","157,104.00","207,870.00","102,567.00","105,303.00","112,392.00","87,847.00","5,271.00"
,,Contrattazione pubblico impiego,67.46%,3,"302,777.00","145,673.00","157,104.00","204,242.00","100,723.00","103,519.00","130,339.00","54,241.00","15,859.00"
,,Interruzioni pubblicitarie,68.62%,0,"302,777.00","145,673.00","157,104.00","207,777.00","102,518.00","105,259.00","115,649.00","84,990.00","5,160.00"
,,Legge elettorale comuni,67.65%,8,"302,777.00","145,673.00","157,104.00","204,820.00","101,053.00","103,767.00","72,452.00","112,575.00","16,498.00"
,,Orari esercizi commerciali,67.71%,9,"302,777.00","145,673.00","157,104.00","205,001.00","101,051.00","103,950.00","55,691.00","132,945.00","13,453.00"
,,Privatizzazione RAI,67.76%,5,"302,777.00","145,673.00","157,104.00","205,175.00","101,218.00","103,957.00","119,945.00","69,290.00","12,958.00"
,,Raccolta pubblicita' radiotelevisiva,68.60%,0,"302,777.00","145,673.00","157,104.00","207,706.00","102,491.00","105,215.00","112,377.00","87,458.00","5,590.00"
,,Rappresentanze sindacali (richiesta massimale),67.51%,1,"302,777.00","145,673.00","157,104.00","204,390.00","100,824.00","103,566.00","75,118.00","111,072.00","14,429.00"
,,Rappresentanze sindacali (richiesta minimale),67.43%,2,"302,777.00","145,673.00","157,104.00","204,169.00","100,834.00","103,335.00","125,139.00","59,634.00","15,917.00"
,,Soggiorno cautelare,67.57%,4,"302,777.00","145,673.00","157,104.00","204,578.00","100,884.00","103,694.00","123,956.00","54,159.00","22,466.00"
,,Trattenute contributi sindacali,67.70%,7,"302,777.00","145,673.00","157,104.00","204,973.00","101,130.00","103,843.00","86,450.00","101,896.00","13,645.00"
,Forlì-Cesena Total,,67.85%,45,"3,633,324.00","1,748,076.00","1,885,248.00","2,465,380.00","1,216,186.00","1,249,194.00","1,180,630.00","1,090,749.00","156,845.00"
,Modena,Autorizzazione al commercio,71.31%,6,"519,085.00","249,401.00","269,684.00","370,140.00","181,284.00","188,856.00","95,266.00","245,926.00","25,543.00"
,,Concessioni televisive nazionali,72.14%,0,"519,085.00","249,401.00","269,684.00","374,455.00","183,529.00","190,926.00","213,894.00","148,529.00","9,433.00"
,,Contrattazione pubblico impiego,71.21%,3,"519,085.00","249,401.00","269,684.00","369,640.00","181,053.00","188,587.00","251,678.00","87,736.00","26,360.00"
,,Interruzioni pubblicitarie,72.13%,0,"519,085.00","249,401.00","269,684.00","374,433.00","183,493.00","190,940.00","221,858.00","141,641.00","8,779.00"
,,Legge elettorale comuni,71.43%,8,"519,085.00","249,401.00","269,684.00","370,780.00","181,670.00","189,110.00","121,598.00","219,615.00","26,413.00"
,,Orari esercizi commerciali,71.37%,9,"519,085.00","249,401.00","269,684.00","370,468.00","181,409.00","189,059.00","99,079.00","246,280.00","21,986.00"
,,Privatizzazione RAI,71.53%,5,"519,085.00","249,401.00","269,684.00","371,294.00","181,944.00","189,350.00","241,265.00","107,068.00","20,023.00"
,,Raccolta pubblicita' radiotelevisiva,72.11%,0,"519,085.00","249,401.00","269,684.00","374,338.00","183,490.00","190,848.00","217,004.00","144,906.00","9,975.00"
,,Rappresentanze sindacali (richiesta massimale),71.25%,1,"519,085.00","249,401.00","269,684.00","369,825.00","181,141.00","188,684.00","124,988.00","217,537.00","23,400.00"
,,Rappresentanze sindacali (richiesta minimale),71.23%,2,"519,085.00","249,401.00","269,684.00","369,730.00","181,110.00","188,620.00","242,929.00","97,410.00","25,760.00"
,,Soggiorno cautelare,71.27%,4,"519,085.00","249,401.00","269,684.00","369,942.00","181,242.00","188,700.00","219,926.00","95,421.00","49,606.00"
,,Trattenute contributi sindacali,71.38%,7,"519,085.00","249,401.00","269,684.00","370,535.00","181,565.00","188,970.00","142,606.00","201,990.00","23,011.00"
,Modena Total,,71.53%,45,"6,229,020.00","2,992,812.00","3,236,208.00","4,455,580.00","2,182,930.00","2,272,650.00","2,192,091.00","1,954,059.00","270,289.00"
,Parma,Autorizzazione al commercio,64.34%,6,"347,559.00","166,118.00","181,441.00","223,619.00","110,353.00","113,266.00","64,035.00","133,970.00","21,951.00"
,,Concessioni televisive nazionali,65.66%,0,"347,559.00","166,118.00","181,441.00","228,205.00","112,590.00","115,615.00","111,482.00","107,494.00","6,669.00"
,,Contrattazione pubblico impiego,64.18%,3,"347,559.00","166,118.00","181,441.00","223,061.00","110,141.00","112,920.00","134,782.00","60,815.00","23,590.00"
,,Interruzioni pubblicitarie,65.65%,0,"347,559.00","166,118.00","181,441.00","228,157.00","112,589.00","115,568.00","113,986.00","105,704.00","6,470.00"
,,Legge elettorale comuni,64.48%,8,"347,559.00","166,118.00","181,441.00","224,111.00","110,711.00","113,400.00","94,419.00","104,657.00","21,522.00"
,,Orari esercizi commerciali,64.41%,9,"347,559.00","166,118.00","181,441.00","223,867.00","110,490.00","113,377.00","68,645.00","132,989.00","18,992.00"
,,Privatizzazione RAI,64.59%,5,"347,559.00","166,118.00","181,441.00","224,501.00","110,893.00","113,608.00","121,986.00","82,152.00","17,253.00"
,,Raccolta pubblicita' radiotelevisiva,65.60%,0,"347,559.00","166,118.00","181,441.00","227,993.00","112,495.00","115,498.00","111,608.00","106,738.00","7,341.00"
,,Rappresentanze sindacali (richiesta massimale),64.27%,1,"347,559.00","166,118.00","181,441.00","223,386.00","110,362.00","113,024.00","91,777.00","107,829.00","20,031.00"
,,Rappresentanze sindacali (richiesta minimale),64.21%,2,"347,559.00","166,118.00","181,441.00","223,151.00","110,217.00","112,934.00","130,053.00","67,002.00","22,252.00"
,,Soggiorno cautelare,64.36%,4,"347,559.00","166,118.00","181,441.00","223,692.00","110,520.00","113,172.00","133,568.00","60,418.00","25,856.00"
,,Trattenute contributi sindacali,64.48%,7,"347,559.00","166,118.00","181,441.00","224,116.00","110,741.00","113,375.00","105,259.00","96,414.00","19,155.00"
,Parma Total,,64.69%,45,"4,170,708.00","1,993,416.00","2,177,292.00","2,697,859.00","1,332,102.00","1,365,757.00","1,281,600.00","1,166,182.00","211,082.00"
,Piacenza,Autorizzazione al commercio,65.42%,6,"238,523.00","114,511.00","124,012.00","156,036.00","77,130.00","78,906.00","50,462.00","85,168.00","17,234.00"
,,Concessioni televisive nazionali,66.45%,0,"238,523.00","114,511.00","124,012.00","158,495.00","72,312.00","86,183.00","64,951.00","85,966.00","5,548.00"
,,Contrattazione pubblico impiego,65.38%,3,"238,523.00","114,511.00","124,012.00","155,955.00","77,122.00","78,833.00","90,840.00","44,082.00","17,958.00"
,,Interruzioni pubblicitarie,66.44%,0,"238,523.00","114,511.00","124,012.00","158,473.00","78,465.00","80,008.00","66,282.00","84,872.00","5,608.00"
,,Legge elettorale comuni,65.60%,8,"238,523.00","114,511.00","124,012.00","156,482.00","77,507.00","78,975.00","74,591.00","61,857.00","17,162.00"
,,Orari esercizi commerciali,65.62%,9,"238,523.00","114,511.00","124,012.00","156,522.00","77,328.00","79,194.00","53,347.00","85,275.00","14,972.00"
,,Privatizzazione RAI,65.65%,5,"238,523.00","114,511.00","124,012.00","156,589.00","77,439.00","79,150.00","84,142.00","55,543.00","14,251.00"
,,Raccolta pubblicita' radiotelevisiva,66.49%,0,"238,523.00","114,511.00","124,012.00","158,605.00","78,429.00","80,176.00","65,156.00","85,249.00","5,907.00"
