REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
LIGURIA,Genova,Riduzione preferenze Camera dei Deputati,64.14%,1,"847,826.00","397,554.00","450,272.00","543,806.00","262,282.00","281,524.00","512,361.00","14,601.00","6,777.00"
,Genova Total,,64.14%,1,"847,826.00","397,554.00","450,272.00","543,806.00","262,282.00","281,524.00","512,361.00","14,601.00","6,777.00"
,Imperia,Riduzione preferenze Camera dei Deputati,61.33%,1,"191,090.00","90,296.00","100,794.00","117,197.00","56,348.00","60,849.00","108,828.00","3,749.00","1,751.00"
,Imperia Total,,61.33%,1,"191,090.00","90,296.00","100,794.00","117,197.00","56,348.00","60,849.00","108,828.00","3,749.00","1,751.00"
,La Spezia,Riduzione preferenze Camera dei Deputati,65.03%,1,"200,075.00","95,004.00","105,071.00","130,116.00","63,997.00","66,119.00","121,276.00","4,586.00","1,982.00"
,La Spezia Total,,65.03%,1,"200,075.00","95,004.00","105,071.00","130,116.00","63,997.00","66,119.00","121,276.00","4,586.00","1,982.00"
,Savona ,Riduzione preferenze Camera dei Deputati,66.58%,1,"251,275.00","118,342.00","132,933.00","167,297.00","80,603.00","86,694.00","154,720.00","5,455.00","3,298.00"
,Savona  Total,,66.58%,1,"251,275.00","118,342.00","132,933.00","167,297.00","80,603.00","86,694.00","154,720.00","5,455.00","3,298.00"
LIGURIA Total,,,64.31%,4,"1,490,266.00","701,196.00","789,070.00","958,416.00","463,230.00","495,186.00","897,185.00","28,391.00","13,808.00"
LOMBARDIA,Bergamo,Riduzione preferenze Camera dei Deputati,69.59%,1,"750,223.00","362,856.00","387,367.00","522,097.00","248,443.00","273,654.00","468,331.00","28,535.00","14,321.00"
,Bergamo Total,,69.59%,1,"750,223.00","362,856.00","387,367.00","522,097.00","248,443.00","273,654.00","468,331.00","28,535.00","14,321.00"
,Brescia,Riduzione preferenze Camera dei Deputati,64.62%,1,"845,543.00","406,187.00","439,356.00","546,427.00","261,136.00","285,291.00","501,733.00","22,676.00","12,522.00"
,Brescia Total,,64.62%,1,"845,543.00","406,187.00","439,356.00","546,427.00","261,136.00","285,291.00","501,733.00","22,676.00","12,522.00"
,Como,Riduzione preferenze Camera dei Deputati,66.10%,1,"649,072.00","309,915.00","339,157.00","429,011.00","204,286.00","224,725.00","388,120.00","19,570.00","10,221.00"
,Como Total,,66.10%,1,"649,072.00","309,915.00","339,157.00","429,011.00","204,286.00","224,725.00","388,120.00","19,570.00","10,221.00"
,Cremona,Riduzione preferenze Camera dei Deputati,70.45%,1,"273,296.00","129,850.00","143,446.00","192,540.00","91,811.00","100,729.00","172,333.00","9,519.00","6,257.00"
,Cremona Total,,70.45%,1,"273,296.00","129,850.00","143,446.00","192,540.00","91,811.00","100,729.00","172,333.00","9,519.00","6,257.00"
,Mantova,Riduzione preferenze Camera dei Deputati,69.08%,1,"309,584.00","146,759.00","162,825.00","213,863.00","103,115.00","110,748.00","192,670.00","10,389.00","6,694.00"
,Mantova Total,,69.08%,1,"309,584.00","146,759.00","162,825.00","213,863.00","103,115.00","110,748.00","192,670.00","10,389.00","6,694.00"
,Milano,Riduzione preferenze Camera dei Deputati,68.46%,1,"3,315,194.00","1,579,553.00","1,735,641.00","2,269,730.00","1,091,441.00","1,178,289.00","2,053,394.00","91,687.00","32,449.00"
,Milano Total,,68.46%,1,"3,315,194.00","1,579,553.00","1,735,641.00","2,269,730.00","1,091,441.00","1,178,289.00","2,053,394.00","91,687.00","32,449.00"
,Pavia,Riduzione preferenze Camera dei Deputati,69.07%,1,"421,715.00","198,884.00","222,831.00","291,287.00","140,746.00","150,541.00","259,310.00","13,702.00","10,208.00"
,Pavia Total,,69.07%,1,"421,715.00","198,884.00","222,831.00","291,287.00","140,746.00","150,541.00","259,310.00","13,702.00","10,208.00"
,Sondrio,Riduzione preferenze Camera dei Deputati,53.09%,1,"145,168.00","70,848.00","74,320.00","77,072.00","37,509.00","39,563.00","69,502.00","3,354.00","2,182.00"
,Sondrio Total,,53.09%,1,"145,168.00","70,848.00","74,320.00","77,072.00","37,509.00","39,563.00","69,502.00","3,354.00","2,182.00"
,Varese,Riduzione preferenze Camera dei Deputati,65.80%,1,"654,795.00","311,843.00","342,952.00","430,881.00","207,002.00","223,879.00","391,046.00","20,885.00","8,618.00"
,Varese Total,,65.80%,1,"654,795.00","311,843.00","342,952.00","430,881.00","207,002.00","223,879.00","391,046.00","20,885.00","8,618.00"
LOMBARDIA Total,,,67.52%,9,"7,364,590.00","3,516,695.00","3,847,895.00","4,972,908.00","2,385,489.00","2,587,419.00","4,496,439.00","220,317.00","103,472.00"
MARCHE,Ancona,Riduzione preferenze Camera dei Deputati,68.84%,1,"367,209.00","174,714.00","192,495.00","252,789.00","124,245.00","128,544.00","229,448.00","10,859.00","6,424.00"
,Ancona Total,,68.84%,1,"367,209.00","174,714.00","192,495.00","252,789.00","124,245.00","128,544.00","229,448.00","10,859.00","6,424.00"
,Ascoli Piceno,Riduzione preferenze Camera dei Deputati,65.47%,1,"301,931.00","146,081.00","155,850.00","197,660.00","98,259.00","99,401.00","177,085.00","8,157.00","5,566.00"
,Ascoli Piceno Total,,65.47%,1,"301,931.00","146,081.00","155,850.00","197,660.00","98,259.00","99,401.00","177,085.00","8,157.00","5,566.00"
,Macerata,Riduzione preferenze Camera dei Deputati,65.46%,1,"245,766.00","118,121.00","127,645.00","160,879.00","80,284.00","80,595.00","142,131.00","8,174.00","5,129.00"
,Macerata Total,,65.46%,1,"245,766.00","118,121.00","127,645.00","160,879.00","80,284.00","80,595.00","142,131.00","8,174.00","5,129.00"
,Pesaro e Urbino,Riduzione preferenze Camera dei Deputati,66.63%,1,"289,870.00","141,300.00","148,570.00","193,153.00","96,595.00","96,558.00","177,017.00","7,855.00","3,921.00"
,Pesaro e Urbino Total,,66.63%,1,"289,870.00","141,300.00","148,570.00","193,153.00","96,595.00","96,558.00","177,017.00","7,855.00","3,921.00"
MARCHE Total,,,66.77%,4,"1,204,776.00","580,216.00","624,560.00","804,481.00","399,383.00","405,098.00","725,681.00","35,045.00","21,040.00"
MOLISE,Campobasso,Riduzione preferenze Camera dei Deputati,51.25%,1,"219,377.00","107,198.00","112,179.00","112,435.00","56,740.00","55,695.00","96,678.00","7,680.00","3,626.00"
,Campobasso Total,,51.25%,1,"219,377.00","107,198.00","112,179.00","112,435.00","56,740.00","55,695.00","96,678.00","7,680.00","3,626.00"
,Isernia,Riduzione preferenze Camera dei Deputati,46.60%,1,"87,827.00","42,755.00","45,072.00","40,923.00","20,661.00","20,262.00","35,519.00","2,553.00","1,525.00"
,Isernia Total,,46.60%,1,"87,827.00","42,755.00","45,072.00","40,923.00","20,661.00","20,262.00","35,519.00","2,553.00","1,525.00"
MOLISE Total,,,49.92%,2,"307,204.00","149,953.00","157,251.00","153,358.00","77,401.00","75,957.00","132,197.00","10,233.00","5,151.00"
PIEMONTE,Alessandria,Riduzione preferenze Camera dei Deputati,65.31%,1,"383,057.00","181,151.00","201,906.00","250,191.00","122,562.00","127,629.00","224,623.00","10,906.00","6,630.00"
,Alessandria Total,,65.31%,1,"383,057.00","181,151.00","201,906.00","250,191.00","122,562.00","127,629.00","224,623.00","10,906.00","6,630.00"
,Asti,Riduzione preferenze Camera dei Deputati,59.20%,1,"178,801.00","85,289.00","93,512.00","105,855.00","52,248.00","53,607.00","93,684.00","5,192.00","3,423.00"
,Asti Total,,59.20%,1,"178,801.00","85,289.00","93,512.00","105,855.00","52,248.00","53,607.00","93,684.00","5,192.00","3,423.00"
,Cuneo,Riduzione preferenze Camera dei Deputati,63.34%,1,"453,984.00","221,055.00","232,929.00","287,535.00","142,763.00","144,772.00","256,526.00","12,167.00","9,029.00"
,Cuneo Total,,63.34%,1,"453,984.00","221,055.00","232,929.00","287,535.00","142,763.00","144,772.00","256,526.00","12,167.00","9,029.00"
