REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,Firenze Total,,67.47%,1,"996,323.00","473,699.00","522,624.00","672,230.00","329,070.00","343,160.00","621,904.00","23,402.00","12,156.00"
,Grosseto,Riduzione preferenze Camera dei Deputati,62.38%,1,"185,596.00","89,099.00","96,497.00","115,778.00","57,360.00","58,418.00","105,484.00","5,121.00","2,342.00"
,Grosseto Total,,62.38%,1,"185,596.00","89,099.00","96,497.00","115,778.00","57,360.00","58,418.00","105,484.00","5,121.00","2,342.00"
,Livorno,Riduzione preferenze Camera dei Deputati,66.59%,1,"287,865.00","137,081.00","150,784.00","191,693.00","94,255.00","97,438.00","179,201.00","6,560.00","3,082.00"
,Livorno Total,,66.59%,1,"287,865.00","137,081.00","150,784.00","191,693.00","94,255.00","97,438.00","179,201.00","6,560.00","3,082.00"
,Lucca,Riduzione preferenze Camera dei Deputati,60.42%,1,"325,162.00","154,307.00","170,855.00","196,475.00","94,936.00","101,539.00","177,197.00","9,014.00","4,154.00"
,Lucca Total,,60.42%,1,"325,162.00","154,307.00","170,855.00","196,475.00","94,936.00","101,539.00","177,197.00","9,014.00","4,154.00"
,Massa-Carrara,Riduzione preferenze Camera dei Deputati,60.24%,1,"173,731.00","82,755.00","90,976.00","104,657.00","50,726.00","53,931.00","95,855.00","4,041.00","1,703.00"
,Massa-Carrara Total,,60.24%,1,"173,731.00","82,755.00","90,976.00","104,657.00","50,726.00","53,931.00","95,855.00","4,041.00","1,703.00"
,Pisa,Riduzione preferenze Camera dei Deputati,66.57%,1,"321,572.00","153,274.00","168,298.00","214,072.00","105,415.00","108,657.00","195,840.00","8,761.00","5,183.00"
,Pisa Total,,66.57%,1,"321,572.00","153,274.00","168,298.00","214,072.00","105,415.00","108,657.00","195,840.00","8,761.00","5,183.00"
,Pistoia,Riduzione preferenze Camera dei Deputati,66.09%,1,"223,578.00","106,430.00","117,148.00","147,761.00","72,484.00","75,277.00","134,984.00","5,293.00","3,335.00"
,Pistoia Total,,66.09%,1,"223,578.00","106,430.00","117,148.00","147,761.00","72,484.00","75,277.00","134,984.00","5,293.00","3,335.00"
,Siena,Riduzione preferenze Camera dei Deputati,70.30%,1,"214,389.00","102,798.00","111,591.00","150,720.00","74,767.00","75,953.00","137,919.00","5,855.00","3,927.00"
,Siena Total,,70.30%,1,"214,389.00","102,798.00","111,591.00","150,720.00","74,767.00","75,953.00","137,919.00","5,855.00","3,927.00"
TOSCANA Total,,,65.46%,9,"2,991,331.00","1,426,537.00","1,564,794.00","1,958,269.00","961,751.00","996,518.00","1,797,666.00","75,281.00","40,579.00"
TRENTINO A.ADIGE,Bolzano,Riduzione preferenze Camera dei Deputati,58.41%,1,"353,939.00","173,001.00","180,938.00","206,751.00","100,650.00","106,101.00","183,619.00","9,782.00","9,994.00"
,Bolzano Total,,58.41%,1,"353,939.00","173,001.00","180,938.00","206,751.00","100,650.00","106,101.00","183,619.00","9,782.00","9,994.00"
,Trento,Riduzione preferenze Camera dei Deputati,69.92%,1,"371,892.00","178,809.00","193,083.00","260,010.00","126,073.00","133,937.00","237,282.00","10,503.00","6,359.00"
,Trento Total,,69.92%,1,"371,892.00","178,809.00","193,083.00","260,010.00","126,073.00","133,937.00","237,282.00","10,503.00","6,359.00"
TRENTINO A.ADIGE Total,,,64.31%,2,"725,831.00","351,810.00","374,021.00","466,761.00","226,723.00","240,038.00","420,901.00","20,285.00","16,353.00"
UMBRIA,Perugia,Riduzione preferenze Camera dei Deputati,66.18%,1,"497,311.00","239,830.00","257,481.00","329,142.00","164,761.00","164,381.00","298,524.00","14,772.00","6,688.00"
,Perugia Total,,66.18%,1,"497,311.00","239,830.00","257,481.00","329,142.00","164,761.00","164,381.00","298,524.00","14,772.00","6,688.00"
,Terni,Riduzione preferenze Camera dei Deputati,65.40%,1,"189,265.00","90,733.00","98,532.00","123,785.00","61,636.00","62,149.00","112,683.00","5,224.00","2,327.00"
,Terni Total,,65.40%,1,"189,265.00","90,733.00","98,532.00","123,785.00","61,636.00","62,149.00","112,683.00","5,224.00","2,327.00"
UMBRIA Total,,,65.97%,2,"686,576.00","330,563.00","356,013.00","452,927.00","226,397.00","226,530.00","411,207.00","19,996.00","9,015.00"
VALLE D'AOSTA,Aosta,Riduzione preferenze Camera dei Deputati,63.91%,1,"97,878.00","48,283.00","49,595.00","62,549.00","31,369.00","31,180.00","57,427.00","1,907.00","1,818.00"
,Aosta Total,,63.91%,1,"97,878.00","48,283.00","49,595.00","62,549.00","31,369.00","31,180.00","57,427.00","1,907.00","1,818.00"
VALLE D'AOSTA Total,,,63.91%,1,"97,878.00","48,283.00","49,595.00","62,549.00","31,369.00","31,180.00","57,427.00","1,907.00","1,818.00"
VENETO,Belluno,Riduzione preferenze Camera dei Deputati,57.15%,1,"190,558.00","90,365.00","100,193.00","108,909.00","52,606.00","56,303.00","101,240.00","4,039.00","1,671.00"
,Belluno Total,,57.15%,1,"190,558.00","90,365.00","100,193.00","108,909.00","52,606.00","56,303.00","101,240.00","4,039.00","1,671.00"
,Padova,Riduzione preferenze Camera dei Deputati,78.80%,1,"679,231.00","326,440.00","352,791.00","535,263.00","259,218.00","276,045.00","490,566.00","21,975.00","11,131.00"
,Padova Total,,78.80%,1,"679,231.00","326,440.00","352,791.00","535,263.00","259,218.00","276,045.00","490,566.00","21,975.00","11,131.00"
,Rovigo,Riduzione preferenze Camera dei Deputati,74.24%,1,"206,079.00","98,741.00","107,338.00","152,999.00","74,812.00","78,187.00","134,050.00","9,627.00","5,474.00"
,Rovigo Total,,74.24%,1,"206,079.00","98,741.00","107,338.00","152,999.00","74,812.00","78,187.00","134,050.00","9,627.00","5,474.00"
,Treviso,Riduzione preferenze Camera dei Deputati,74.49%,1,"617,129.00","297,383.00","319,746.00","459,679.00","224,705.00","234,974.00","426,769.00","16,874.00","6,949.00"
,Treviso Total,,74.49%,1,"617,129.00","297,383.00","319,746.00","459,679.00","224,705.00","234,974.00","426,769.00","16,874.00","6,949.00"
,Venezia,Riduzione preferenze Camera dei Deputati,73.19%,1,"805,617.00","387,054.00","418,563.00","589,607.00","288,408.00","301,199.00","460,130.00","20,610.00","7,458.00"
,Venezia Total,,73.19%,1,"805,617.00","387,054.00","418,563.00","589,607.00","288,408.00","301,199.00","460,130.00","20,610.00","7,458.00"
,Verona,Riduzione preferenze Camera dei Deputati,73.00%,1,"646,937.00","310,214.00","336,723.00","472,290.00","227,731.00","244,559.00","435,462.00","17,555.00","9,234.00"
,Verona Total,,73.00%,1,"646,937.00","310,214.00","336,723.00","472,290.00","227,731.00","244,559.00","435,462.00","17,555.00","9,234.00"
,Vicenza,Riduzione preferenze Camera dei Deputati,73.46%,1,"617,422.00","297,882.00","319,540.00","453,542.00","217,418.00","236,124.00","421,917.00","15,442.00","7,776.00"
,Vicenza Total,,73.46%,1,"617,422.00","297,882.00","319,540.00","453,542.00","217,418.00","236,124.00","421,917.00","15,442.00","7,776.00"
VENETO Total,,,73.67%,7,"3,762,973.00","1,808,079.00","1,954,894.00","2,772,289.00","1,344,898.00","1,427,391.00","2,470,134.00","106,122.00","49,693.00"
Grand Total,,,62.50%,95,"47,377,843.00","22,792,518.00","24,585,325.00","29,609,635.00","14,592,802.00","15,016,833.00","26,896,979.00","1,247,908.00","574,744.00"
