REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Uso dei pesticidi,51.53%,3,"368,223.00","177,037.00","191,186.00","189,742.00","90,607.00","99,135.00","168,294.00","13,463.00","5,925.00"
,TRENTO Total,,51.52%,6,"1,104,669.00","531,111.00","573,558.00","569,116.00","271,845.00","297,271.00","505,251.00","38,679.00","18,548.00"
TRENTINO-ALTO ADIGE Total,,,43.09%,12,"2,153,838.00","1,045,242.00","1,108,596.00","928,081.00","446,518.00","481,563.00","803,971.00","70,148.00","41,802.00"
UMBRIA,PERUGIA,Accesso dei cacciatori a fondi privati,26.16%,2,"493,631.00","238,080.00","255,551.00","129,145.00","62,470.00","66,675.00","108,753.00","14,000.00","4,408.00"
,,Disciplina della caccia,26.16%,1,"493,631.00","238,080.00","255,551.00","129,146.00","62,435.00","66,711.00","111,948.00","10,541.00","4,684.00"
,,Uso dei pesticidi,26.59%,3,"493,631.00","238,080.00","255,551.00","131,277.00","63,780.00","67,497.00","118,893.00","7,706.00","2,981.00"
,PERUGIA Total,,26.31%,6,"1,480,893.00","714,240.00","766,653.00","389,568.00","188,685.00","200,883.00","339,594.00","32,247.00","12,073.00"
,TERNI,Accesso dei cacciatori a fondi privati,24.51%,2,"187,876.00","90,053.00","97,823.00","46,057.00","21,927.00","24,130.00","38,688.00","4,955.00","1,610.00"
,,Disciplina della caccia,24.50%,1,"187,876.00","90,053.00","97,823.00","46,036.00","21,903.00","24,133.00","39,068.00","4,273.00","1,827.00"
,,Uso dei pesticidi,25.14%,3,"187,876.00","90,053.00","97,823.00","47,236.00","22,652.00","24,584.00","42,824.00","2,721.00","1,073.00"
,TERNI Total,,24.72%,6,"563,628.00","270,159.00","293,469.00","139,329.00","66,482.00","72,847.00","120,580.00","11,949.00","4,510.00"
UMBRIA Total,,,25.87%,12,"2,044,521.00","984,399.00","1,060,122.00","528,897.00","255,167.00","273,730.00","460,174.00","44,196.00","16,583.00"
VALLE D'AOSTA,AOSTA,Accesso dei cacciatori a fondi privati,46.18%,2,"96,921.00","47,811.00","49,110.00","44,758.00","22,154.00","22,604.00","38,881.00","3,162.00","2,122.00"
,,Disciplina della caccia,46.15%,1,"96,921.00","47,811.00","49,110.00","44,729.00","22,129.00","22,600.00","38,465.00","3,280.00","2,386.00"
,,Uso dei pesticidi,46.30%,3,"96,921.00","47,811.00","49,110.00","44,874.00","22,226.00","22,648.00","40,048.00","2,504.00","1,782.00"
,AOSTA Total,,46.21%,6,"290,763.00","143,433.00","147,330.00","134,361.00","66,509.00","67,852.00","117,394.00","8,946.00","6,290.00"
VALLE D'AOSTA Total,,,46.21%,6,"290,763.00","143,433.00","147,330.00","134,361.00","66,509.00","67,852.00","117,394.00","8,946.00","6,290.00"
VENETO,BELLUNO,Accesso dei cacciatori a fondi privati,43.33%,2,"189,849.00","90,063.00","99,786.00","82,258.00","38,936.00","43,322.00","73,780.00","5,545.00","1,850.00"
,,Disciplina della caccia,43.29%,1,"189,849.00","90,063.00","99,786.00","82,183.00","38,880.00","43,303.00","72,636.00","6,088.00","2,312.00"
,,Uso dei pesticidi,43.38%,3,"189,849.00","90,063.00","99,786.00","82,365.00","39,010.00","43,355.00","74,654.00","4,909.00","1,746.00"
,BELLUNO Total,,43.33%,6,"569,547.00","270,189.00","299,358.00","246,806.00","116,826.00","129,980.00","221,070.00","16,542.00","5,908.00"
,PADOVA,Accesso dei cacciatori a fondi privati,62.32%,2,"672,196.00","322,814.00","349,382.00","418,889.00","200,394.00","218,495.00","369,919.00","31,251.00","11,407.00"
,,Disciplina della caccia,62.25%,1,"672,196.00","322,814.00","349,382.00","418,475.00","200,129.00","218,346.00","367,388.00","31,465.00","13,163.00"
,,Uso dei pesticidi,62.31%,3,"672,196.00","322,814.00","349,382.00","418,877.00","200,492.00","218,385.00","371,225.00","29,807.00","11,502.00"
,PADOVA Total,,62.30%,6,"2,016,588.00","968,442.00","1,048,146.00","1,256,241.00","601,015.00","655,226.00","1,108,532.00","92,523.00","36,072.00"
,ROVIGO,Accesso dei cacciatori a fondi privati,62.33%,2,"197,744.00","94,660.00","103,084.00","123,257.00","59,964.00","63,293.00","106,629.00","10,070.00","4,892.00"
,,Disciplina della caccia,62.30%,1,"197,744.00","94,660.00","103,084.00","123,200.00","59,924.00","63,276.00","107,276.00","8,923.00","5,271.00"
,,Uso dei pesticidi,62.35%,3,"197,744.00","94,660.00","103,084.00","123,295.00","60,020.00","63,275.00","108,313.00","8,795.00","4,520.00"
,ROVIGO Total,,62.33%,6,"593,232.00","283,980.00","309,252.00","369,752.00","179,908.00","189,844.00","322,218.00","27,788.00","14,683.00"
,TREVISO,Accesso dei cacciatori a fondi privati,55.09%,2,"609,885.00","293,410.00","316,475.00","335,961.00","160,814.00","175,147.00","299,072.00","24,793.00","8,305.00"
,,Disciplina della caccia,55.03%,1,"609,885.00","293,410.00","316,475.00","335,633.00","160,658.00","174,975.00","295,273.00","26,409.00","9,909.00"
,,Uso dei pesticidi,55.29%,3,"609,885.00","293,410.00","316,475.00","337,214.00","160,994.00","176,220.00","299,543.00","24,773.00","8,136.00"
,TREVISO Total,,55.14%,6,"1,829,655.00","880,230.00","949,425.00","1,008,808.00","482,466.00","526,342.00","893,888.00","75,975.00","26,350.00"
,VENEZIA,Accesso dei cacciatori a fondi privati,61.13%,2,"690,859.00","331,966.00","358,893.00","422,342.00","204,191.00","218,151.00","383,036.00","26,752.00","7,827.00"
,,Disciplina della caccia,61.13%,1,"690,859.00","331,966.00","358,893.00","422,322.00","203,783.00","218,539.00","381,688.00","26,759.00","8,942.00"
