REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,,Uso dei pesticidi,61.25%,3,"690,859.00","331,966.00","358,893.00","423,161.00","204,176.00","218,985.00","386,753.00","23,787.00","7,470.00"
,VENEZIA Total,,61.17%,6,"2,072,577.00","995,898.00","1,076,679.00","1,267,825.00","612,150.00","655,675.00","1,151,477.00","77,298.00","24,239.00"
,VERONA,Accesso dei cacciatori a fondi privati,50.80%,2,"638,913.00","306,223.00","332,690.00","324,585.00","153,875.00","170,710.00","288,345.00","23,417.00","9,305.00"
,,Disciplina della caccia,50.80%,1,"638,913.00","306,223.00","332,690.00","324,585.00","153,875.00","170,710.00","286,548.00","23,289.00","10,724.00"
,,Uso dei pesticidi,50.87%,3,"638,913.00","306,223.00","332,690.00","325,032.00","154,106.00","170,926.00","289,872.00","22,079.00","9,009.00"
,VERONA Total,,50.83%,6,"1,916,739.00","918,669.00","998,070.00","974,202.00","461,856.00","512,346.00","864,765.00","68,785.00","29,038.00"
,VICENZA,Accesso dei cacciatori a fondi privati,45.44%,2,"609,645.00","293,690.00","315,955.00","276,993.00","129,320.00","147,673.00","240,678.00","24,205.00","8,548.00"
,,Disciplina della caccia,45.46%,1,"609,645.00","293,690.00","315,955.00","277,118.00","129,395.00","147,723.00","239,136.00","23,671.00","9,886.00"
,,Uso dei pesticidi,45.62%,3,"609,645.00","293,690.00","315,955.00","278,109.00","129,919.00","148,190.00","250,480.00","17,214.00","7,050.00"
,VICENZA Total,,45.50%,6,"1,828,935.00","881,070.00","947,865.00","832,220.00","388,634.00","443,586.00","730,294.00","65,090.00","25,484.00"
VENETO Total,,,55.01%,42,"10,827,273.00","5,198,478.00","5,628,795.00","5,955,854.00","2,842,855.00","3,112,999.00","5,292,244.00","424,001.00","161,774.00"
Grand Total,,,43.13%,570,"141,705,855.00","68,121,831.00","73,584,024.00","61,120,830.00","29,652,889.00","31,467,941.00","53,977,667.00","4,273,248.00","1,722,011.00"
