REGIONE,PROVINCIA,QUESITO,SUM of ELETTORI_TOT,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SKBIANCHE,AFFLUENZA
,Biella Total,,"164,596.00","77,849.00","86,747.00","62,569.00","30,515.00","32,054.00","36,574.00","23,854.00",920.00,0.3801368198
,Cuneo,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"468,708.00","228,179.00","240,529.00","164,593.00","82,470.00","82,123.00","97,304.00","60,622.00","3,204.00",0.3511631976
,Cuneo Total,,"468,708.00","228,179.00","240,529.00","164,593.00","82,470.00","82,123.00","97,304.00","60,622.00","3,204.00",0.3511631976
,Novara,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"293,041.00","139,810.00","153,231.00","102,984.00","51,332.00","51,652.00","59,800.00","40,129.00","1,367.00",0.3514320522
,Novara Total,,"293,041.00","139,810.00","153,231.00","102,984.00","51,332.00","51,652.00","59,800.00","40,129.00","1,367.00",0.3514320522
,Torino,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"1,886,053.00","906,159.00","979,894.00","750,269.00","371,168.00","379,101.00","496,590.00","234,690.00","7,089.00",0.3977984712
,Torino Total,,"1,886,053.00","906,159.00","979,894.00","750,269.00","371,168.00","379,101.00","496,590.00","234,690.00","7,089.00",0.3977984712
,Verbano C.O.,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"144,580.00","69,370.00","75,210.00","43,379.00","21,789.00","21,590.00","25,600.00","16,272.00",518.00,0.3000345829
,Verbano C.O. Total,,"144,580.00","69,370.00","75,210.00","43,379.00","21,789.00","21,590.00","25,600.00","16,272.00",518.00,0.3000345829
,Vercelli,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"155,588.00","74,317.00","81,271.00","56,465.00","28,148.00","28,317.00","32,824.00","21,565.00",977.00,0.3629135923
,Vercelli Total,,"155,588.00","74,317.00","81,271.00","56,465.00","28,148.00","28,317.00","32,824.00","21,565.00",977.00,0.3629135923
PIEMONTE Total,,,"3,667,437.00","1,760,452.00","1,906,985.00","1,379,625.00","686,092.00","693,533.00","867,190.00","470,963.00","17,105.00",0.3761823311
PUGLIA,Bari,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"1,332,999.00","648,520.00","684,479.00","371,115.00","192,123.00","178,992.00","218,028.00","135,792.00","6,466.00",0.2784060603
,Bari Total,,"1,332,999.00","648,520.00","684,479.00","371,115.00","192,123.00","178,992.00","218,028.00","135,792.00","6,466.00",0.2784060603
,Brindisi,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"345,011.00","165,451.00","179,560.00","86,404.00","43,874.00","42,530.00","50,678.00","31,073.00","2,152.00",0.2504383918
