REGIONE,PROVINCIA,QUESITO,SUM of ELETTORI_TOT,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SKBIANCHE,AFFLUENZA
,Rovigo,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"211,635.00","101,379.00","110,256.00","88,637.00","44,947.00","43,690.00","53,976.00","31,918.00","1,291.00",0.4188201384
,Rovigo Total,,"211,635.00","101,379.00","110,256.00","88,637.00","44,947.00","43,690.00","53,976.00","31,918.00","1,291.00",0.4188201384
,Treviso,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"679,690.00","329,464.00","350,226.00","263,630.00","131,676.00","131,954.00","139,240.00","117,599.00","2,451.00",0.3878679986
,Treviso Total,,"679,690.00","329,464.00","350,226.00","263,630.00","131,676.00","131,954.00","139,240.00","117,599.00","2,451.00",0.3878679986
,Venezia,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"707,452.00","339,561.00","367,891.00","290,057.00","144,341.00","145,716.00","182,669.00","98,686.00","2,641.00",0.4100023747
,Venezia Total,,"707,452.00","339,561.00","367,891.00","290,057.00","144,341.00","145,716.00","182,669.00","98,686.00","2,641.00",0.4100023747
,Verona,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"681,662.00","328,104.00","353,558.00","278,865.00","137,505.00","141,360.00","144,944.00","127,816.00","2,619.00",0.4090957102
,Verona Total,,"681,662.00","328,104.00","353,558.00","278,865.00","137,505.00","141,360.00","144,944.00","127,816.00","2,619.00",0.4090957102
,Vicenza,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"658,568.00","319,000.00","339,568.00","274,192.00","134,823.00","139,369.00","144,260.00","124,354.00","2,732.00",0.4163457684
,Vicenza Total,,"658,568.00","319,000.00","339,568.00","274,192.00","134,823.00","139,369.00","144,260.00","124,354.00","2,732.00",0.4163457684
VENETO Total,,,"3,859,599.00","1,859,934.00","1,999,665.00","1,571,087.00","779,875.00","791,212.00","884,428.00","647,815.00","15,698.00",0.4070596453
Grand Total,,,"49,462,222.00","23,810,326.00","25,651,896.00","16,843,420.00","8,445,604.00","8,397,816.00","10,433,574.00","5,816,527.00","236,561.00",0.3405310016
